,序号,标题,链接,导演,评分,评价人数,简介,年份,地区,类型
125,126,完美的世界,https://movie.douban.com/subject/1300992/,克林特·伊斯特伍德 Clint Eastwood,9.1,341137人评价,坏人的好总是比好人的好来得更感人。,1993,美国,剧情 犯罪
126,127,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,姜文 Wen Jiang,8.8,657798人评价,一场华丽的意淫。,1994,中国大陆 中国香港,剧情 爱情
127,128,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,森淳一 Junichi Mori,9.0,452155人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014,日本,剧情
128,129,天使爱美丽,https://movie.douban.com/subject/1292215/,让-皮埃尔·热内 Jean-Pierre Jeunet,8.7,991444人评价,法式小清新。,2001,法国 德国,剧情 喜剧 爱情
129,130,驯龙高手,https://movie.douban.com/subject/2353023/,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,8.8,808964人评价,和谐的生活离不开摸头与被摸头。,2010,美国,动画 奇幻 冒险
130,131,侧耳倾听,https://movie.douban.com/subject/1297052/,近藤喜文 Yoshifumi Kondo,8.9,497012人评价,少女情怀总是诗。,1995,日本,剧情 爱情 动画
131,132,头脑特工队,https://movie.douban.com/subject/10533913/,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,8.8,725778人评价,愿我们都不用长大，每一座城堡都能永远存在。,2015,美国,喜剧 动画 冒险
132,133,新世界,https://movie.douban.com/subject/10437779/,朴勋政 Hoon-jung Park,8.9,490004人评价,要做就做得狠一点，这样才能活下去。,2013,韩国,剧情 犯罪
133,134,怪兽电力公司,https://movie.douban.com/subject/1291579/,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,8.8,727304人评价,不要给它起名字，起了名字就有感情了。,2001,美国,儿童 喜剧 动画 奇幻 冒险
134,135,教父3,https://movie.douban.com/subject/1294240/,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.0,405829人评价,任何信念的力量，都无法改变命运。,1990,美国,剧情 犯罪
135,136,傲慢与偏见,https://movie.douban.com/subject/1418200/,乔·怀特 Joe Wright,8.7,866882人评价,爱是摈弃傲慢与偏见之后的曙光。,2005,法国 英国 美国,剧情 爱情
136,137,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,汉内斯·赫尔姆 Hannes Holm,8.9,527419人评价,惠及一生的美丽。,2015,瑞典,剧情
137,138,玩具总动员3,https://movie.douban.com/subject/1858711/,李·昂克里奇 Lee Unkrich,8.9,558561人评价,跨度十五年的欢乐与泪水。,2010,美国,喜剧 动画 奇幻 冒险
138,139,幸福终点站,https://movie.douban.com/subject/1292274/,史蒂文·斯皮尔伯格 Steven Spielberg,8.8,610501人评价,有时候幸福需要等一等。,2004,美国,喜剧 剧情 爱情
139,140,小森林 冬春篇,https://movie.douban.com/subject/25814707/,森淳一 Junichi Mori,9.0,402119人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015,日本,剧情
140,141,色，戒,https://movie.douban.com/subject/1828115/,李安 Ang Lee,8.7,896056人评价,假戏真情，爱欲深海,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
141,142,被解救的姜戈,https://movie.douban.com/subject/6307447/,昆汀·塔伦蒂诺 Quentin Tarantino,8.8,654108人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012,美国,剧情 动作 西部 冒险
142,143,釜山行,https://movie.douban.com/subject/25986180/,延尚昊 Sang-ho Yeon,8.6,1282082人评价,揭露人性的丧尸题材力作。,2016,韩国,动作 惊悚 灾难
143,144,神偷奶爸,https://movie.douban.com/subject/3287562/,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,8.7,1003715人评价,Mr. I Don't Care其实也有Care的时候。,2010,美国 法国,喜剧 动画 冒险
144,145,萤火之森,https://movie.douban.com/subject/5989818/,大森贵弘 Takahiro Omori,8.8,579461人评价,触不到的恋人。,2011,日本,剧情 爱情 动画 奇幻
145,146,九品芝麻官,https://movie.douban.com/subject/1297518/,王晶 Jing Wong,8.7,743421人评价,,1994,中国香港 中国大陆,剧情 喜剧 古装
146,147,哪吒闹海,https://movie.douban.com/subject/1307315/,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,9.2,280784人评价,想你时你在闹海。,1979,中国大陆,冒险 动画 奇幻
147,148,告白,https://movie.douban.com/subject/4268598/,中岛哲也 Tetsuya Nakashima,8.8,710597人评价,没有一人完全善，也没有一人完全恶。,2010,日本,剧情 悬疑
148,149,喜宴,https://movie.douban.com/subject/1303037/,李安 Ang Lee,9.0,399250人评价,中国家庭的喜怒哀乐忍。,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
149,150,玛丽和马克思,https://movie.douban.com/subject/3072124/,亚当·艾略特 Adam Elliot,9.0,440906人评价,你是我最好的朋友，你是我唯一的朋友 。,2009,澳大利亚 美国,剧情 喜剧 动画
150,151,模仿游戏,https://movie.douban.com/subject/10463953/,莫滕·泰杜姆 Morten Tyldum,8.8,691056人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014,英国 美国,剧情 传记 战争 同性
151,152,头号玩家,https://movie.douban.com/subject/4920389/,史蒂文·斯皮尔伯格 Steven Spielberg,8.6,1446896人评价,写给影迷，动漫迷和游戏迷的一封情书。,2018,美国,动作 科幻 冒险
152,153,花样年华,https://movie.douban.com/subject/1291557/,王家卫 Kar Wai Wong,8.8,663616人评价,偷情本没有这样美。,2000,中国香港,剧情 爱情
153,154,大鱼,https://movie.douban.com/subject/1291545/,蒂姆·波顿 Tim Burton,8.8,600764人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003,美国,剧情 爱情 奇幻 冒险
154,155,七武士,https://movie.douban.com/subject/1295399/,黑泽明 Akira Kurosawa,9.3,216504人评价,时代悲歌。,1954,日本,动作 冒险 剧情
155,156,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,刘镇伟 Jeffrey Lau,8.7,682286人评价,百看不厌。,1993,中国香港,喜剧 奇幻 武侠 古装
156,157,惊魂记,https://movie.douban.com/subject/1293181/,阿尔弗雷德·希区柯克 Alfred Hitchcock,9.0,329292人评价,故事的反转与反转，分裂电影的始祖。,1960,美国,悬疑 惊悚 恐怖
157,158,血战钢锯岭,https://movie.douban.com/subject/26325320/,梅尔·吉布森 Mel Gibson,8.7,824287人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016,澳大利亚 美国,剧情 传记 历史 战争
158,159,我是山姆,https://movie.douban.com/subject/1306861/,杰茜·尼尔森 Jessie Nelson,9.0,359650人评价,爱并不需要智商 。,2001,美国,剧情 家庭
159,160,阳光姐妹淘,https://movie.douban.com/subject/4917726/,姜炯哲 Hyeong-Cheol Kang,8.8,615241人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。,2011,韩国,剧情 喜剧
160,161,恐怖直播,https://movie.douban.com/subject/21360417/,金秉祐 Byeong-woo Kim,8.7,696606人评价,恐怖分子的“秋菊打官司”。,2013,韩国,剧情 犯罪 悬疑
161,162,你的名字。,https://movie.douban.com/subject/26683290/,新海诚 Makoto Shinkai,8.5,1516777人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016,日本,剧情 爱情 动画
162,163,黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,8.8,474541人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003,美国,动作 科幻
163,164,三块广告牌,https://movie.douban.com/subject/26611804/,马丁·麦克唐纳 Martin McDonagh,8.7,876407人评价,怼天怼地，你走后，她与世界为敌。,2017,英国 美国,剧情 犯罪
164,165,心迷宫,https://movie.douban.com/subject/25917973/,忻钰坤 Yukun Xin,8.8,575751人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014,中国大陆,剧情 犯罪 悬疑
165,166,电锯惊魂,https://movie.douban.com/subject/1417598/,詹姆斯·温 James Wan,8.7,577552人评价,真相就在眼前。,2004,美国,悬疑 惊悚 恐怖
166,167,小丑,https://movie.douban.com/subject/27119724/,托德·菲利普斯 Todd Phillips,8.7,1081632人评价,,2019,美国 加拿大,剧情 犯罪 惊悚
167,168,达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,让-马克·瓦雷 Jean-Marc Vallée,8.8,483094人评价,Jared Leto的腿比女人还美！,2013,美国,剧情 传记 同性
168,169,背靠背，脸对脸,https://movie.douban.com/subject/1307856/,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,9.5,159406人评价,,1994,中国大陆 中国香港,剧情
169,170,心灵奇旅,https://movie.douban.com/subject/24733428/,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,8.7,1067187人评价,,2020,美国,动画 奇幻 音乐
170,171,疯狂原始人,https://movie.douban.com/subject/1907966/,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,8.7,884990人评价,老少皆宜，这就是好莱坞动画的魅力。,2013,美国,喜剧 动画 冒险
171,172,谍影重重3,https://movie.douban.com/subject/1578507/,保罗·格林格拉斯 Paul Greengrass,8.8,446170人评价,像吃了苏打饼一样干脆的电影。,2007,美国 德国 法国 英国,动作 悬疑 惊悚
172,173,绿里奇迹,https://movie.douban.com/subject/1300374/,弗兰克·德拉邦特 Frank Darabont,8.9,363524人评价,天使暂时离开。,1999,美国,犯罪 剧情 奇幻 悬疑
173,174,上帝之城,https://movie.douban.com/subject/1292208/,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,9.0,319323人评价,被上帝抛弃了的上帝之城。,2002,巴西 法国,犯罪 剧情
174,175,海街日记,https://movie.douban.com/subject/25895901/,是枝裕和 Hirokazu Koreeda,8.8,489415人评价,是枝裕和的家庭习作。,2015,日本,剧情 家庭
175,176,爱在午夜降临前,https://movie.douban.com/subject/10808442/,理查德·林克莱特 Richard Linklater,8.9,441775人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013,美国 希腊,剧情 爱情
176,177,英雄本色,https://movie.douban.com/subject/1297574/,吴宇森 John Woo,8.6,577860人评价,英雄泪短，兄弟情长。,1986,中国香港,剧情 动作 犯罪
177,178,风之谷,https://movie.douban.com/subject/1291585/,宫崎骏 Hayao Miyazaki,8.9,376721人评价,动画片的圣经。,1984,日本,动画 奇幻 冒险
178,179,无间道2,https://movie.douban.com/subject/1307106/,刘伟强 / 麦兆辉,8.8,528822人评价,,2003,中国香港,剧情 犯罪 惊悚
179,180,疯狂的石头,https://movie.douban.com/subject/1862151/,宁浩 Hao Ning,8.6,880801人评价,中国版《两杆大烟枪》。,2006,中国大陆 中国香港,喜剧 犯罪
180,181,2001太空漫游,https://movie.douban.com/subject/1292226/,斯坦利·库布里克 Stanley Kubrick,8.9,366341人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。,1968,英国 美国,科幻 惊悚 冒险
181,182,雨中曲,https://movie.douban.com/subject/1293460/,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,9.1,249229人评价,骨灰级歌舞片。,1952,美国,喜剧 歌舞 爱情
182,183,纵横四海,https://movie.douban.com/subject/1295409/,吴宇森 John Woo,8.8,454073人评价,香港浪漫主义警匪动作片的巅峰之作。,1991,中国香港,剧情 喜剧 动作 犯罪
183,184,卢旺达饭店,https://movie.douban.com/subject/1291822/,特瑞·乔治 Terry George,8.9,351615人评价,当这个世界闭上双眼，他却敞开了怀抱。,2004,英国 南非 意大利 美国,剧情 传记 历史 战争
184,185,记忆碎片,https://movie.douban.com/subject/1304447/,克里斯托弗·诺兰 Christopher Nolan,8.7,640493人评价,一个针管引发的血案。,2000,美国,犯罪 剧情 悬疑 惊悚
185,186,小偷家族,https://movie.douban.com/subject/27622447/,是枝裕和 Hirokazu Koreeda,8.7,862115人评价,我们组成了家。,2018,日本,剧情 犯罪 家庭
186,187,无敌破坏王,https://movie.douban.com/subject/6534248/,瑞奇·莫尔 Rich Moore,8.7,581205人评价,迪士尼和皮克斯拿错剧本的产物。,2012,美国,喜剧 动画 奇幻 冒险
187,188,岁月神偷,https://movie.douban.com/subject/3792799/,罗启锐 Alex Law,8.7,596731人评价,岁月流逝，来日可追。,2010,中国香港 中国大陆,剧情 家庭
188,189,冰川时代,https://movie.douban.com/subject/1291578/,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,8.6,655667人评价,松鼠才是角儿。,2002,美国,喜剧 动画 冒险
189,190,牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,杨德昌 Edward Yang,8.9,338185人评价,弱者送给弱者的一刀。,1991,中国台湾,剧情 犯罪
190,191,荒蛮故事,https://movie.douban.com/subject/24750126/,达米安·斯兹弗隆 Damián Szifron,8.8,473045人评价,始于荒诞，止于更荒诞。,2014,阿根廷 西班牙,剧情 喜剧 犯罪
191,192,忠犬八公物语,https://movie.douban.com/subject/1959195/,神山征二郎 Seijirô Kôyama,9.2,208691人评价,养狗三日，便会对你终其一生。,1987,日本,剧情
192,193,恐怖游轮,https://movie.douban.com/subject/3011051/,克里斯托弗·史密斯 Christopher Smith,8.5,935596人评价,不要企图在重复中寻找已经失去的爱。,2009,英国 澳大利亚,剧情 悬疑 惊悚
193,194,爆裂鼓手,https://movie.douban.com/subject/25773932/,达米恩·查泽雷 Damien Chazelle,8.6,641465人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014,美国,剧情 音乐
194,195,末路狂花,https://movie.douban.com/subject/1291992/,雷德利·斯科特 Ridley Scott,9.0,303884人评价,没有了退路，只好飞向自由。,1991,美国 英国 法国,犯罪 剧情 惊悚
195,196,东京教父,https://movie.douban.com/subject/1310177/,今敏 Satoshi Kon,9.0,262916人评价,,2003,日本,剧情 喜剧 动画
196,197,魔女宅急便,https://movie.douban.com/subject/1307811/,宫崎骏 Hayao Miyazaki,8.7,496724人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989,日本,动画 奇幻 冒险
197,198,大佛普拉斯,https://movie.douban.com/subject/27059130/,黄信尧 Hsin-yao Huang,8.7,515637人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。,2017,中国台湾,剧情 喜剧
198,199,遗愿清单,https://movie.douban.com/subject/1867345/,罗伯·莱纳 Rob Reiner,8.7,503709人评价,用剩余不多的时间，去燃烧整个生命。,2007,美国,冒险 喜剧 剧情
199,200,贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,8.6,781529人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008,英国,剧情 爱情
200,201,高山下的花环,https://movie.douban.com/subject/1422283/,谢晋 Jin Xie,9.5,126811人评价,,1984(中国大陆),1985,中国大陆
201,202,东邪西毒,https://movie.douban.com/subject/1292328/,王家卫 Kar Wai Wong,8.6,608267人评价,电影诗。,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
202,203,你看起来好像很好吃,https://movie.douban.com/subject/4848115/,藤森雅也 Masaya Fujimori,8.9,355217人评价,感情不分食草或者食肉。,2010,日本,剧情 动画 儿童
203,204,源代码,https://movie.douban.com/subject/3075287/,邓肯·琼斯 Duncan Jones,8.5,884897人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011,美国 加拿大,科幻 悬疑 惊悚
204,205,疯狂的麦克斯4：狂暴之路,https://movie.douban.com/subject/3592854/,乔治·米勒 George Miller,8.7,586583人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,2015,澳大利亚 美国,动作 科幻 冒险
205,206,可可西里,https://movie.douban.com/subject/1308857/,陆川 Chuan Lu,8.9,326723人评价,坚硬的信仰。,2004,中国大陆 中国香港,剧情 犯罪
206,207,海边的曼彻斯特,https://movie.douban.com/subject/25980443/,肯尼斯·罗纳根 Kenneth Lonergan,8.6,606362人评价,我们都有权利不与自己的过去和解。,2016,美国,剧情 家庭
207,208,城市之光,https://movie.douban.com/subject/1293908/,Charles Chaplin,9.3,160570人评价,永远的小人物，伟大的卓别林。,1931,美国,喜剧 剧情 爱情
208,209,波西米亚狂想曲,https://movie.douban.com/subject/5300054/,布莱恩·辛格 Bryan Singer,8.6,654768人评价,,2018,英国 美国,剧情 传记 同性 音乐
209,210,黑天鹅,https://movie.douban.com/subject/1978709/,达伦·阿罗诺夫斯基 Darren Aronofsky,8.6,816742人评价,黑暗之美。,2010,美国,剧情 惊悚
210,211,芙蓉镇,https://movie.douban.com/subject/1297880/,谢晋 Jin Xie,9.3,166110人评价,,1987,中国大陆,剧情 爱情
211,212,爱乐之城,https://movie.douban.com/subject/25934014/,达米恩·查泽雷 Damien Chazelle,8.4,1024490人评价,,2016,美国,剧情 爱情 歌舞
212,213,真爱至上,https://movie.douban.com/subject/1292401/,理查德·柯蒂斯 Richard Curtis,8.5,773912人评价,爱，是个动词。,2003,英国 美国 法国,喜剧 剧情 爱情
213,214,青蛇,https://movie.douban.com/subject/1303394/,徐克 Hark Tsui,8.6,561947人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装
214,215,花束般的恋爱,https://movie.douban.com/subject/34874432/,土井裕泰 Nobuhiro Doi,8.6,736232人评价,,2021,日本,剧情 爱情
215,216,初恋这件小事,https://movie.douban.com/subject/4739952/,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,8.5,1019899人评价,黑小鸭速效美白记。,2010,泰国,剧情 喜剧 爱情
216,217,雨人,https://movie.douban.com/subject/1291870/,巴瑞·莱文森 Barry Levinson,8.7,426883人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988,美国,剧情
217,218,终结者2：审判日,https://movie.douban.com/subject/1291844/,詹姆斯·卡梅隆 James Cameron,8.8,364122人评价,少见的超越首部的续集，动作片中的经典。,1991,美国 法国,动作 科幻
218,219,人工智能,https://movie.douban.com/subject/1302827/,史蒂文·斯皮尔伯格 Steven Spielberg,8.7,477486人评价,对爱的执着，可以超越一切。,2001,美国 英国,剧情 科幻
219,220,无耻混蛋,https://movie.douban.com/subject/1438652/,昆汀·塔伦蒂诺 Quentin Tarantino,8.7,519926人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,2009,德国 美国,剧情 犯罪
220,221,虎口脱险,https://movie.douban.com/subject/1296909/,杰拉尔·乌里 Gérard Oury,8.9,278324人评价,永远看不腻的喜剧。,1966,法国 英国,喜剧 战争
221,222,哈利·波特与死亡圣器(上),https://movie.douban.com/subject/2051007/,大卫·叶茨 David Yates,8.6,645178人评价,最忠于原著的一部。,2010,英国 美国,奇幻 冒险
222,223,新龙门客栈,https://movie.douban.com/subject/1292287/,李惠民 Raymond Lee,8.7,477699人评价,嬉笑怒骂，调风动月。,1992,中国香港 中国大陆,动作 爱情 武侠 古装
223,224,白日梦想家,https://movie.douban.com/subject/2133323/,本·斯蒂勒 Ben Stiller,8.6,576666人评价,,2013,美国 英国,剧情 喜剧 冒险
224,225,恋恋笔记本,https://movie.douban.com/subject/1309163/,尼克·卡索维茨 Nick Cassavetes,8.5,716567人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,2004,美国,剧情 爱情
225,226,崖上的波妞,https://movie.douban.com/subject/1959877/,宫崎骏 Hayao Miyazaki,8.6,540785人评价,,2008,日本,动画 奇幻 冒险
226,227,罗生门,https://movie.douban.com/subject/1291879/,黑泽明 Akira Kurosawa,8.8,338829人评价,人生的N种可能性。,1950,日本,剧情 犯罪 悬疑
227,228,千钧一发,https://movie.douban.com/subject/1300117/,安德鲁·尼科尔 Andrew Niccol,8.8,326780人评价,一部能引人思考的科幻励志片。,1997,美国,剧情 科幻 惊悚
228,229,彗星来的那一夜,https://movie.douban.com/subject/25807345/,詹姆斯·沃德·布柯特 James Ward Byrkit,8.6,639381人评价,小成本大魅力。,2013,美国 英国,科幻 悬疑 惊悚
229,230,机器人之梦,https://movie.douban.com/subject/35426925/,巴勃罗·贝格尔 Pablo Berger,9.0,243795人评价,,2023,西班牙 法国,剧情 动画 音乐
230,231,大红灯笼高高挂,https://movie.douban.com/subject/1293323/,张艺谋 Yimou Zhang,8.8,329118人评价,,1991,中国大陆 中国香港 中国台湾,剧情
231,232,哈利·波特与凤凰社,https://movie.douban.com/subject/1457217/,大卫·叶茨 David Yates,8.5,644207人评价,,2007,英国 美国,奇幻 冒险
232,233,黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,8.7,432808人评价,一个精彩的世界观正在缓缓建立。,2003,美国,动作 科幻
233,234,萤火虫之墓,https://movie.douban.com/subject/1293318/,高畑勋 Isao Takahata,8.7,424188人评价,幸福是生生不息，却难以触及的远。,1988,日本,动画 剧情 战争
234,235,火星救援,https://movie.douban.com/subject/25864085/,雷德利·斯科特 Ridley Scott,8.5,788021人评价,,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险
235,236,奇迹男孩,https://movie.douban.com/subject/26787574/,斯蒂芬·卓博斯基 Stephen Chbosky,8.6,579017人评价,世界不完美，爱会有奇迹。,2017,美国 中国香港,剧情 儿童 家庭
236,237,二十二,https://movie.douban.com/subject/26430107/,郭柯 Ke Guo,8.7,304793人评价,有一些东西不应该被遗忘。,2015,中国大陆,纪录片
237,238,战争之王,https://movie.douban.com/subject/1419936/,安德鲁·尼科尔 Andrew Niccol,8.7,395217人评价,做一颗让别人需要你的棋子。,2005,美国 德国,剧情 犯罪
238,239,步履不停,https://movie.douban.com/subject/2222996/,是枝裕和 Hirokazu Koreeda,8.8,304050人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008,日本,剧情 家庭
239,240,千年女优,https://movie.douban.com/subject/1307394/,今敏 Satoshi Kon,8.8,297472人评价,爱情是一场没有尽头的虚幻追逐。,2001,日本,动画 剧情 爱情
240,241,血钻,https://movie.douban.com/subject/1428175/,爱德华·兹威克 Edward Zwick,8.7,404309人评价,每个美丽事物背后都是滴血的现实。,2006,美国 德国 英国,剧情 惊悚 冒险
241,242,谍影重重2,https://movie.douban.com/subject/1308767/,保罗·格林格拉斯 Paul Greengrass,8.7,377587人评价,谁说王家卫镜头很晃？,2004,美国 德国,动作 悬疑 惊悚
242,243,房间,https://movie.douban.com/subject/25724855/,伦尼·阿伯拉罕森 Lenny Abrahamson,8.8,387024人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
243,244,魂断蓝桥,https://movie.douban.com/subject/1293964/,茂文·勒鲁瓦 Mervyn LeRoy,8.8,296770人评价,中国式内在的美国电影。,1940,美国,剧情 爱情 战争
244,245,蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,8.6,718164人评价,,2018,美国,动作 科幻 动画 冒险
245,246,弱点,https://movie.douban.com/subject/3552028/,约翰·李·汉考克 John Lee Hancock,8.7,337466人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,2009,美国,剧情 家庭 传记 运动
246,247,谍影重重,https://movie.douban.com/subject/1304102/,道格·里曼 Doug Liman,8.6,459606人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002,美国 德国 捷克,动作 悬疑 惊悚
247,248,隐藏人物,https://movie.douban.com/subject/26615208/,特奥多尔·梅尔菲 Theodore Melfi,8.9,245564人评价,,2016,美国,剧情 传记 历史
248,249,朗读者,https://movie.douban.com/subject/2213597/,史蒂芬·戴德利 Stephen Daldry,8.6,473815人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。,2008,美国 德国,剧情 爱情
249,250,阿飞正传,https://movie.douban.com/subject/1305690/,王家卫 Kar Wai Wong,8.5,544766人评价,王家卫是一种风格，张国荣是一个代表。,1990,中国香港,犯罪 剧情 爱情
